name_ar,name_en,gender,religion,role,frequency_class,corpus_share_pct,slot1_pct,slot2_pct,slot3_pct,slot4_pct,slot5_pct,slot6_pct,slot7_pct,slot8_pct,tashkeel,meaning_ar,meaning_en,ar_variants,en_variants,data_version
المستجد,El Mostaged,n,n,f,n,0.00017,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,اَلْمُسْتَجِدّ,لقب عائلي مصري، يعني 'الجديد' أو 'الوافد حديثًا'، وقد يشير إلى شخص أو عائلة استقرت حديثًا في مكان ما.,"An Egyptian family surname, meaning 'the new one' or 'the newcomer', possibly referring to a person or family that recently settled in a place.",المستجد,El Mostaged,v0.2.1
الناوية,El Nawiya,n,n,f,n,0.00017,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,النَّاوِيَة,اسم قرية مصرية في محافظة أسيوط. قد تكون مشتقة من الفعل 'نوى' بمعنى قصد أو عزم، أو من 'النواة' وهي بذرة التمر.,"Name of an Egyptian village in Assiut Governorate. It may be derived from the verb 'nawa' meaning to intend or resolve, or from 'al-nawa' which is the date seed.",الناوية,El Nawiya,v0.2.1
انفسط,Infasat,n,n,f,n,0.00017,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,اِنْفَسْط,لقب عائلي مصري، قد يكون تحريفًا لاسم آخر أو له أصل غير عربي، أو قد يكون مرتبطًا بكلمة 'انفساط' بمعنى الانبساط والراحة.,"An Egyptian family surname, possibly a distortion of another name or of non-Arabic origin, or it might be related to the word 'infisat' meaning relaxation and comfort.",انفسط,Infasat,v0.2.1
بزرقان,Bazarkan,n,n,g,n,0.00017,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,بَزَرْقَان,اسم قرية مصرية في محافظة أسيوط. لا يوجد معنى عربي مباشر للاسم، وقد يكون من أصل قبطي أو فرعوني قديم.,"Name of an Egyptian village in Assiut Governorate. There is no direct Arabic meaning for the name, and it may be of Coptic or ancient Pharaonic origin.",بزرقان,Bazarkan,v0.2.1
بقمن,Bakman,n,n,g,n,0.00017,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,بَقْمَن,اسم قرية مصرية في محافظة أسيوط. لا يوجد معنى عربي مباشر للاسم، وقد يكون من أصل قبطي أو فرعوني قديم.,"Name of an Egyptian village in Assiut Governorate. There is no direct Arabic meaning for the name, and it may be of Coptic or ancient Pharaonic origin.",بقمن,Bakman,v0.2.1
رايز,Raiz,n,n,g,n,0.00017,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,رَايِز,اسم قرية مصرية في محافظة أسيوط. لا يوجد معنى عربي مباشر للاسم، وقد يكون من أصل قبطي أو فرعوني قديم.,"Name of an Egyptian village in Assiut Governorate. There is no direct Arabic meaning for the name, and it may be of Coptic or ancient Pharaonic origin.",رايز,Raiz,v0.2.1
سربو,Serbo,n,n,g,n,0.00017,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,سَرْبُو,اسم قرية مصرية في محافظة أسيوط. لا يوجد معنى عربي مباشر للاسم، وقد يكون من أصل قبطي أو فرعوني قديم.,"Name of an Egyptian village in Assiut Governorate. There is no direct Arabic meaning for the name, and it may be of Coptic or ancient Pharaonic origin.",سربو,Serbo,v0.2.1
للفصل,Lel Fasl,n,n,f,n,0.00017,0.0,45.95,50.0,4.05,0.0,0.0,0.0,0.0,لِلْفَصْل,لقب عائلي مصري، قد يكون له دلالة على مكان أو وظيفة مرتبطة بالفصل أو التمييز، أو قد يكون تحريفًا لاسم آخر.,"An Egyptian family surname, possibly indicating a place or function related to separation or distinction, or it might be a distortion of another name.",للفصل,Lel Fasl,v0.2.1
والقرية,Elqarya,n,n,g,n,0.00017,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,وَالْقَرْيَة,اسم قرية مصرية في محافظة أسيوط. تعني 'القرية' باللغة العربية، وهي كلمة معرفة بأل التعريف.,"Name of an Egyptian village in Assiut Governorate. It means 'the village' in Arabic, and it is a definite noun.",والقرية,Elqarya,v0.2.1
أبوآمنة,Aboamna,m,m,f,n,0.000164,0.0,0.0,0.0,12.0,88.0,0.0,0.0,0.0,أَبُوآمِنَة,كنية: أبو آمنة,Kunya: father of Amna,أبوآمنة|أبوآمنه|أبوامنه|ابوآمنه|ابوامنه|أبوأمنة|أبوأمنه,Aboamna|Abu-Amna|Abo-Amna|Abuamna|Abu Amna|Abou Amna,v0.1.x
أبوالنواس,Aboelnawas,m,n,f,n,0.000164,5.56,5.56,38.89,16.67,27.78,5.56,0.0,0.0,أَبُوالنَّوَاس,كنية: أبو النواس (النواس: ذوائب الشعر),Kunya: father of al-Nawās (hanging locks,أبوالنواس|ابوالنواس,Aboelnawas|Abu-al-Nawas|Abo-Elnawas,v0.1.x
أبوجمرة,Abojamra,n,n,f,n,0.000164,0.0,0.0,0.0,11.11,83.33,5.56,0.0,0.0,أَبُوجَمْرَة,كنية: أبو جمرة,Kunya: father of Jamra (ember,أبوجمرة|أبوجمره|ابوجمرة|ابوجمره,Abojamra|Abu-Jamra|Abo-Gamra,v0.1.x
أبوخطاب,Abokhattab,n,m,f,n,0.000164,0.0,0.0,0.0,16.67,83.33,0.0,0.0,0.0,أَبُوخَطَّاب,كنية: أبو خطاب,Kunya: father of Khattab,أبوخطاب|ابوخطاب,Abokhattab|Abu-Khattab|Abo-Khattab,v0.1.x
أبوسعدية,Abosaadia,n,m,f,n,0.000164,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,أَبُوسَعْدِيَّة,كنية: أبو سعدية,Kunya: father of Saʿdiyya,أبوسعدية|ابوسعدية|ابوسعديه,Abosaadia|Abu-Saadia|Abo-Saadia,v0.1.x
أبوسلطان,Abosoltan,n,n,f,n,0.000164,0.0,0.0,5.56,61.11,33.33,0.0,0.0,0.0,أَبُوسُلْطَان,كنية: أبو سلطان,Kunya: father of Sultan,أبوسلطان|ابوسلطان,Abosoltan|Abu-Sultan|Abo-Soltan,v0.1.x
أبوعطوان,Aboatwan,n,n,f,n,0.000164,0.0,0.0,0.0,11.11,11.11,72.22,5.56,0.0,أَبُوعَطْوَان,كنية: أبو عطوان,Kunya: father of Atwan,أبوعطوان|ابوعطوان,Aboatwan|Abu-Atwan|Abo-Atwan,v0.1.x
أبوعقادة,Aboaqada,n,n,f,n,0.000164,0.0,0.0,16.67,27.78,55.56,0.0,0.0,0.0,أَبُوعَقَّادَة,كنية: أبو عقادة,Kunya: father of Aqqada,أبوعقادة|ابوعقادة|ابوعقاده,Aboaqada|Abu-Aqqada|Abo-Aqada,v0.1.x
أبوعلوان,Aboelwan,n,n,f,n,0.000164,0.0,0.0,27.78,16.67,55.56,0.0,0.0,0.0,أَبُوعِلْوَان,كنية: أبو علوان,Kunya: father of Alwan,أبوعلوان|ابوعلوان,Aboelwan|Abu-Elwan|Abo-Elwan,v0.1.x
أبوعليان,Aboalian,n,n,f,n,0.000164,0.0,0.0,0.0,11.11,66.67,22.22,0.0,0.0,أَبُوعَلْيَان,كنية: أبو عليان,Kunya: father of Alyan,أبوعليان|ابوعليان,Aboalian|Abu-Alyan|Abo-Alyan,v0.1.x
أبوفندود,Abou Fandood,m,m,f,n,0.000164,0.0,11.11,83.33,5.56,0.0,0.0,0.0,0.0,أَبُو فَنْدُود,لقب عائلي مصري. 'أبو' تعني الأب أو صاحب. 'فندود' كلمة عامية مصرية قد تشير إلى نوع من النباتات أو قد تكون تحريفًا لكلمة أخرى غير واضحة المعنى في هذا السياق.,"Egyptian surname. 'Abou' means father or owner of. 'Fandood' is an Egyptian colloquial word that might refer to a type of plant, or could be a distortion of another word with unclear meaning in this context.",أبوفندود|ابوفندود,Abofandoud|Abu-Fandoud|Abo-Fandoud,v0.1.x
أبوندا,Abounda,m,m,f,n,0.000164,0.0,0.0,0.0,11.11,66.67,16.67,5.56,0.0,أَبُونْدَا,لقب عائلي مصري. 'أبو' تعني الأب أو صاحب. 'ندا' تعني الكرم أو قطرات الماء. قد يكون نسبة لشخص كريم أو له علاقة بالماء.,Egyptian surname. 'Abou' means father or owner of. 'Nada' means generosity or water droplets. Could refer to a generous person or someone associated with water.,أبوندا|ابوندا,Abonda|Abu-Nda|Abo-Nda,v0.1.x
أبوودن,Abou Wedn,m,m,f,n,0.000164,0.0,0.0,16.67,0.0,77.78,5.56,0.0,0.0,أَبُو وِدْن,لقب عائلي مصري. 'أبو' تعني الأب أو صاحب. 'ودن' هي الكلمة العامية المصرية للأذن. قد يشير إلى شخص ذي أذن مميزة أو كبير الأذن.,Egyptian surname. 'Abou' means father or owner of. 'Wedn' is the Egyptian colloquial word for ear. May refer to someone with distinctive or large ears.,أبوودن|ابوودن,Abowadan|Abu-Wadan|Abo-Wadan,v0.1.x
أفراج,Afraj,m,n,g,n,0.000164,38.89,5.56,33.33,16.67,5.56,0.0,0.0,0.0,أَفْرَاج,الأفراج؛ جمع فرج (الفرج/الانفراج),Reliefs; deliverances (pl. of faraj,أفراج|افراج,Afraj|Afraaj,v0.1.x
ألما,Alma,f,n,g,n,0.000164,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,أَلْمَا,من اللاتينية/الإسبانية Alma: الروح,Soul; spirit (from Latin/Spanish Alma,ألما|الما,Alma,v0.1.x
أنجيلينا,Angelina,f,c,g,n,0.000164,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,أَنْجِيلِينَا,من اللاتينية: صغيرة الملاك / أنجيلينا,Little angel (from Latin Angelina,أنجيلينا|انجيلينا,Angelina|Anjelina,v0.1.x
أيان,Ayan,m,m,g,n,0.000164,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,أَيَّان,اسم علم مذكر. أصلها من 'أيّان' وهي أداة استفهام للزمان بمعنى 'متى'. وقد تكون من 'أَيْن' بمعنى أين. أو قد تكون من أصل غير عربي بمعنى 'الهدية' أو 'النعمة' في بعض اللغات.,"Male given name. Originally from 'ayyan', an interrogative adverb for time meaning 'when'. Could also be from 'ayn' meaning 'where'. Or it might have a non-Arabic origin meaning 'gift' or 'blessing' in some languages.",أيان|ايان,Ayan|Ayaan|Aian,v0.1.x
احمود,Ahmoud,n,m,f,n,0.000164,0.0,11.11,11.11,66.67,11.11,0.0,0.0,0.0,اَحْمُود,صيغة عامية/تصغير من أحمد أو محمود,Colloquial diminutive related to Ahmad or Mahmoud,احمود,Ahmoud|Ahmud,v0.1.x
ارباب,Arbab,m,m,f,n,0.000164,0.0,0.0,0.0,44.44,55.56,0.0,0.0,0.0,اَرْبَاب,الأرباب؛ السادة (جمع رب),The lords; masters,ارباب,Arbab|Erbab,v0.1.x
اسطفان,Estefan,m,c,g,n,0.000164,0.0,0.0,16.67,55.56,27.78,0.0,0.0,0.0,اِسْطِفَان,من اليونانية Stephanos: الإكليل/التاج,Crown; wreath (from Greek Stephanos,اسطفان,Estefan|Stefan|Istefan|Stephen,v0.1.x
الأبيدي,El Abidy,m,m,f,n,0.000164,0.0,0.0,0.0,0.0,88.89,11.11,0.0,0.0,الْأَبِيدِي,لقب عائلي مصري. نسبة إلى 'الأبيد'، وهو تصغير لكلمة 'أبد' بمعنى الدهر أو الزمن الطويل. وقد تكون نسبة إلى مكان أو قبيلة بهذا الاسم.,"Egyptian surname. Attributed to 'Al-Abeed', a diminutive of 'abad' meaning eternity or a long time. Could also be attributed to a place or tribe with this name.",الأبيدي|الأبيدى|الابيدى|الابيدي,Elabidy|Al-Abidi|El-Abeedy,v0.1.x
الأميرة,Elameera,f,n,g,n,0.000164,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,الأَمِيرَة,الأميرة؛ ابنة الملك,The princess,الأميرة|الأميره|الاميرة|الاميره,Elameera|Al-Amira|El-Ameera,v0.1.x
الإسكافي,Eleskafi,n,n,f,n,0.000164,0.0,0.0,0.0,0.0,89.47,10.53,0.0,0.0,الإِسْكَافِي,الإسكافي؛ صانع الأحذية أو معلّمها,The cobbler; shoemaker,الإسكافي|الاسكافى|الأسكافي|الأسكافى,Eleskafi|Al-Iskafi|El-Eskafy|Elaskafy|Al-Askafi|El-Askafy,v0.1.x
الباسطي,El Bastty,m,m,f,n,0.000164,0.0,11.11,0.0,5.56,83.33,0.0,0.0,0.0,الْبَاسْطِي,لقب عائلي مصري. نسبة إلى 'الباسط'، وهو اسم من أسماء الله الحسنى بمعنى الذي يبسط الرزق. أو نسبة إلى مدينة 'بسطة' في الأندلس، أو 'بسطا' في مصر.,"Egyptian surname. Attributed to 'Al-Basit', one of the 99 names of Allah, meaning The Expander (of sustenance). Or attributed to the city of 'Baza' in Andalusia, or 'Basta' in Egypt.",الباسطي|الباسطى,Elbasty|Al-Basti|El-Basty,v0.1.x
البدحي,El Badhy,m,m,f,n,0.000164,0.0,0.0,0.0,11.11,55.56,33.33,0.0,0.0,الْبَدْحِي,لقب عائلي مصري. نسبة إلى 'البدح'، وهو المكان الواسع المنبسط. وقد تكون نسبة إلى قرية أو منطقة بهذا الاسم.,"Egyptian surname. Attributed to 'Al-Badh', meaning a wide, flat place. Could also be attributed to a village or region with this name.",البدحي|البدحى,Elbadahy|Al-Badahi|El-Badahi,v0.1.x
البطوط,El Battout,m,m,f,n,0.000164,0.0,0.0,0.0,0.0,88.89,11.11,0.0,0.0,الْبَطُّوط,لقب عائلي مصري. جمع 'بط' وهو طائر مائي. وقد يكون نسبة إلى شخص يربي البط أو يبيعه، أو له علاقة بالبط.,"Egyptian surname. Plural of 'batt' (duck). Could refer to someone who raises or sells ducks, or is associated with ducks.",البطوط,Elbattout|Al-Battut|El-Batout,v0.1.x
التبولي,El Tabouly,m,m,f,n,0.000164,0.0,0.0,0.0,5.56,72.22,22.22,0.0,0.0,التَّبُولِي,لقب عائلي مصري. نسبة إلى 'التبول'، وهي كلمة عامية مصرية قد تشير إلى نوع من النباتات أو قد تكون تحريفًا لكلمة أخرى غير واضحة المعنى في هذا السياق.,"Egyptian surname. Attributed to 'Al-Taboul', an Egyptian colloquial word that might refer to a type of plant, or could be a distortion of another word with unclear meaning in this context.",التبولي|التبولى,Eltaboly|Al-Tabuli|El-Tabouly,v0.1.x
الجدوي,El Gadwy,m,m,f,n,0.000164,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,الْجَدْوِي,لقب عائلي مصري. نسبة إلى 'الجدوى'، بمعنى الفائدة والمنفعة. أو قد تكون نسبة إلى مكان أو قبيلة بهذا الاسم.,"Egyptian surname. Attributed to 'Al-Gadwa', meaning benefit or utility. Could also be attributed to a place or tribe with this name.",الجدوي|الجدوى,Elgadawy|Al-Jadawi|El-Gadawi,v0.1.x
الجريتلي,El Geritly,m,m,f,n,0.000164,0.0,0.0,0.0,5.56,88.89,5.56,0.0,0.0,الْجِرِيتْلِي,لقب عائلي مصري. نسبة إلى جزيرة 'كريت' اليونانية (Crete)، حيث كان هناك هجرات من كريت إلى مصر، خاصة بعد الفتح العثماني.,"Egyptian surname. Attributed to the Greek island of 'Crete', as there were migrations from Crete to Egypt, especially after the Ottoman conquest.",الجريتلي|الجريتلى,Elgireetly|Al-Jiritli|El-Geretly,v0.1.x
الجلالي,Elgalaly,n,m,f,n,0.000164,0.0,5.56,0.0,11.11,61.11,16.67,5.56,0.0,الجَلَالِي,منسوب إلى الجلال؛ ذو الجلال,Related to jalāl (majesty,الجلالي|الجلالى,Elgalaly|Al-Jalali|El-Galaly,v0.1.x
الحافي,Elhafy,n,n,f,n,0.000164,0.0,0.0,0.0,0.0,77.78,22.22,0.0,0.0,الحَافِي,الحافي؛ الذي بلا نعل,The barefoot,الحافي|الحافى,Elhafy|Al-Hafi|El-Hafy,v0.1.x
الحرون,Elharoun,n,n,f,n,0.000164,0.0,0.0,0.0,11.11,83.33,5.56,0.0,0.0,الحَرُون,الحرون؛ العصيّ/الممانع,The stubborn; refractory,الحرون,Elharoun|Al-Harun|El-Haroon,v0.1.x
الحسيسي,El Hasseesy,m,m,f,n,0.000164,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,الْحَسِيسِي,لقب عائلي مصري. نسبة إلى 'الحسيس'، وهو الصوت الخفي أو الحركة الخفية. وقد تكون نسبة إلى قرية أو منطقة بهذا الاسم، أو إلى شخص يتصف بالخفاء أو الحذر.,"Egyptian surname. Attributed to 'Al-Hasees', meaning a faint sound or subtle movement. Could also be attributed to a village or region with this name, or to a person characterized by stealth or caution.",الحسيسي|الحسيسى,Elhoseisy|Al-Husaysi|El-Hoseisy,v0.1.x
الحلاق,Elhallaq,n,n,f,n,0.000164,0.0,0.0,38.89,33.33,22.22,5.56,0.0,0.0,الحَلَّاق,الحلّاق؛ مزيّن الشعر,The barber,الحلاق,Elhallaq|Al-Hallaq|El-Hallaq,v0.1.x
الحمارة,Elhammara,n,n,f,n,0.000164,0.0,0.0,0.0,0.0,83.33,16.67,0.0,0.0,الحَمَّارَة,الحمّارة؛ من يعمل بالحمير أو ينسب إليها,Related to donkey-driving / female donkey-keeper,الحمارة|الحماره,Elhammara|Al-Hammara|El-Hamara,v0.1.x
الخبازة,Elkhabbaza,n,n,f,n,0.000164,0.0,0.0,0.0,0.0,94.44,5.56,0.0,0.0,الخَبَّازَة,الخبّازة؛ خابزة الخبز,The (female) baker,الخبازة|الخبازه,Elkhabbaza|Al-Khabbaza|El-Khabaza,v0.1.x
الخليل,Elkhalil,m,m,g,n,0.000164,11.11,16.67,33.33,38.89,0.0,0.0,0.0,0.0,الخَلِيل,الخليل؛ الصديق الوفي (ومنها لقب إبراهيم),The intimate friend (epithet of Abraham,الخليل,Elkhalil|Al-Khalil|El-Khalil,v0.1.x
الدبيسي,El Dubaisy,m,m,f,n,0.000164,0.0,0.0,0.0,0.0,88.89,11.11,0.0,0.0,الدُّبَيْسِي,لقب عائلي مصري. نسبة إلى 'الدبيس'، وهو تصغير لكلمة 'دبس' (عسل التمر). وقد تكون نسبة إلى قرية 'دبيس' في مصر أو إلى شخص يعمل في صناعة الدبس أو بيعه.,"Egyptian surname. Attributed to 'Al-Dubays', a diminutive of 'dibs' (date molasses). Could also be attributed to the village of 'Dubays' in Egypt or to someone involved in making or selling molasses.",الدبيسي|الدبيسى,Eldobeisy|Al-Dubaysi|El-Dobeisy,v0.1.x
الدقناوي,El Deqnawy,n,n,f,n,0.000164,0.0,0.0,0.0,38.89,61.11,0.0,0.0,0.0,اَلدِّقْنَاوِيّ,نسبة إلى قرية الدقناوية بمحافظة الدقهلية، أو الدقناوي نسبة إلى الدقن (اللحية).,"Attributed to the village of El Deqnawiya in Dakahlia Governorate, or El Deqnawy referring to 'the bearded one'.",الدقناوي|الدقناوى,Eldaqnawy|Al-Daqnawi|El-Daqnawi,v0.1.x
الدلاش,El Dallash,n,n,f,n,0.000164,0.0,0.0,0.0,0.0,77.78,22.22,0.0,0.0,اَلدَّلَّاش,من الدلش وهو الخلط والاضطراب، أو الدلش في المشي أي التبختر. قد يكون لقباً يدل على صفة أو مهنة.,"From 'dalash' meaning mixing or disturbance, or 'dalash' in walking meaning strutting. May be a nickname indicating a characteristic or profession.",الدلاش,Eldallash|Al-Dallash|El-Dalash,v0.1.x
الديشي,El Deishy,n,n,f,n,0.000164,0.0,11.11,5.56,38.89,33.33,11.11,0.0,0.0,اَلدِّيْشِيّ,نسبة إلى قرية الديشي أو الديشة، أو من الديش وهو نوع من النباتات أو القماش.,"Attributed to the village of El Deisha, or from 'deish' which is a type of plant or fabric.",الديشي|الديشى,Eldeeshy|Al-Dishi|El-Deeshy,v0.1.x
الرغي,El Raghy,n,n,f,n,0.000164,0.0,0.0,0.0,11.11,83.33,5.56,0.0,0.0,اَلرَّغِيّ,من الرغاء وهو صوت الإبل، أو الرغي بمعنى كثرة الكلام. قد يكون لقباً يدل على صفة.,"From 'raghaa' which is the sound of camels, or 'raghy' meaning excessive talk. May be a nickname indicating a characteristic.",الرغي|الرغى,Elraghy|Al-Raghi|El-Raghy,v0.1.x
الزنكلوني,Elzankalouny,n,n,f,n,0.000164,0.0,0.0,0.0,0.0,72.22,22.22,5.56,0.0,الزَّنْكَلُونِي,منسوب إلى الزنكلون (بالشرقية),From al-Zankalun (Sharqia,الزنكلوني|الزنكلونى,Elzankalouny|Al-Zankaluni|El-Zankalony,v0.1.x
السماليجي,El Samaligy,n,n,f,n,0.000164,0.0,0.0,0.0,0.0,94.44,5.56,0.0,0.0,اَلسَّمَالِيْجِيّ,نسبة إلى قرية السماليج بمحافظة المنوفية.,Attributed to the village of El Samalig in Monufia Governorate.,السماليجي|السماليجى,Elsamaligy|Al-Samaliji|El-Samaligy,v0.1.x
السمخراطي,El Samakhraty,n,n,f,n,0.000164,0.0,0.0,0.0,0.0,83.33,16.67,0.0,0.0,اَلسَّمَخْرَاطِيّ,نسبة إلى قرية سمخراط بمحافظة البحيرة.,Attributed to the village of Samakhrat in Beheira Governorate.,السمخراطي|السمخراطى,Elsamkharaty|Al-Samkharati|El-Samkharaty,v0.1.x
الشمحوط,El Shamhout,n,n,f,n,0.000164,0.0,0.0,0.0,22.22,77.78,0.0,0.0,0.0,اَلشَّمْحُوط,من الشمحطة وهي السرعة والخفة، أو الشمحوط وهو الطويل النحيف. قد يكون لقباً يدل على صفة جسدية.,"From 'shamhata' meaning speed and lightness, or 'shamhout' meaning tall and slender. May be a nickname indicating a physical characteristic.",الشمحوط,Elshamhout|Al-Shamhut|El-Shamhout,v0.1.x
الشهيد,Elshaheed,n,n,f,n,0.000164,0.0,0.0,16.67,33.33,33.33,16.67,0.0,0.0,الشَّهِيد,الشهيد؛ من قُتل في سبيل الله أو الحق,The martyr,الشهيد,Elshaheed|Al-Shahid|El-Shaheed,v0.1.x
الضليل,Eldaleel,n,n,f,n,0.000164,0.0,0.0,0.0,11.11,88.89,0.0,0.0,0.0,الضَّلِيل,الضليل؛ التائه عن الطريق,The stray; misguided,الضليل,Eldaleel|Al-Dalil|El-Daleel,v0.1.x
الطوار,El Tawwar,n,n,f,n,0.000164,0.0,0.0,0.0,11.11,50.0,38.89,0.0,0.0,اَلطَّوَّار,من الطوار وهو ما يطوف حول الشيء، أو الطوار بمعنى الحائط أو السور. قد يكون لقباً يدل على مهنة أو مكان.,"From 'tawwar' meaning that which surrounds something, or 'tawwar' meaning a wall or fence. May be a nickname indicating a profession or place.",الطوار,Eltawwar|Al-Tawwar|El-Tawar,v0.1.x
العبدالله,Elabdallah,m,m,g,n,0.000164,11.11,0.0,50.0,27.78,11.11,0.0,0.0,0.0,العَبْدَاللَّه,العبد الله؛ عبد الله,The servant of God (ʿAbd Allāh,العبدالله,Elabdallah|Al-Abdallah|El-Abdullah,v0.1.x
العبودي,Elabboudy,n,m,f,n,0.000164,0.0,16.67,16.67,11.11,44.44,11.11,0.0,0.0,العَبُّودِي,منسوب إلى العبود/عبد؛ العبودي,Related to ʿAbbūd/ʿabd (servitude nisba,العبودي|العبودى,Elabboudy|Al-Abbudi|El-Abboudy,v0.1.x
العويني,El Oweiny,n,n,f,n,0.000164,0.0,0.0,0.0,16.67,66.67,16.67,0.0,0.0,اَلْعُوَيْنِيّ,تصغير عين، أو نسبة إلى العوين وهو المساعد أو المعين. قد يكون لقباً يدل على صفة أو مهنة.,"Diminutive of 'ain' (eye), or attributed to 'owein' meaning helper or assistant. May be a nickname indicating a characteristic or profession.",العويني|العوينى,Eloweiny|Al-Uwayni|El-Oweiny,v0.1.x
العيص,Eleis,n,n,f,n,0.000164,0.0,0.0,0.0,0.0,94.44,5.56,0.0,0.0,العِيص,العيص؛ الشجر الملتف الكثيف,Dense tangled shrubs,العيص,Eleis|Al-Eis|El-Eis,v0.1.x
الغزال,Elghazal,n,n,f,n,0.000164,0.0,0.0,11.11,22.22,61.11,5.56,0.0,0.0,الغَزَال,الغزال (الحيوان),The gazelle,الغزال,Elghazal|Al-Ghazal|El-Ghazal,v0.1.x
الفالوجي,El Falougy,n,n,f,n,0.000164,0.0,0.0,0.0,5.56,83.33,11.11,0.0,0.0,اَلْفَالُوجِيّ,نسبة إلى الفالوجة، وهي قرية فلسطينية تاريخية، أو قد تكون قرية مصرية غير معروفة حالياً بهذا الاسم.,"Attributed to Al-Faluja, a historical Palestinian village, or possibly an unknown Egyptian village with this name.",الفالوجي|الفالوجى,Elfalougy|Al-Faluji|El-Falougy,v0.1.x
القياتي,El Qayyaty,n,n,f,n,0.000164,0.0,11.11,5.56,77.78,5.56,0.0,0.0,0.0,اَلْقَيَّاتِيّ,نسبة إلى قرية القياتية أو القيات، أو من القيات وهو نوع من النباتات.,"Attributed to the village of El Qayyatia or El Qayat, or from 'qayat' which is a type of plant.",القياتي|القياتى,Elqayaty|Al-Qiyati|El-Kayaty,v0.1.x
القيشاوي,El Qeishawy,n,n,f,n,0.000164,0.0,0.0,0.0,5.56,61.11,33.33,0.0,0.0,اَلْقِيْشَاوِيّ,نسبة إلى قرية القيشة أو القيشاوي، أو من القيش وهو نوع من القماش أو الحرير.,"Attributed to the village of El Qeisha or El Qeishawy, or from 'qeish' which is a type of fabric or silk.",القيشاوي|القيشاوى,Elqeeshawy|Al-Qishawi|El-Qishawy,v0.1.x
اللبيشي,El Labeishy,n,n,f,n,0.000164,0.0,0.0,11.11,16.67,72.22,0.0,0.0,0.0,اَللَّبِيْشِيّ,نسبة إلى قرية اللبيشي أو اللبيشة، أو من اللبش وهو الخلط والجمع.,"Attributed to the village of El Labeisha, or from 'labash' meaning mixing and gathering.",اللبيشي|اللبيشى,Ellabeeshy|Al-Labishi|El-Labeeshy,v0.1.x
اللطف,Ellotf,n,n,f,n,0.000164,0.0,0.0,0.0,66.67,33.33,0.0,0.0,0.0,اللُّطْف,اللطف؛ الرفق والرقة,Kindness; gentleness,اللطف,Ellotf|Al-Lutf|El-Lotf,v0.1.x
اللفاف,Ellaffaf,n,n,f,n,0.000164,0.0,0.0,0.0,0.0,55.56,44.44,0.0,0.0,اللَّفَّاف,اللفّاف؛ من يلفّ (مهنة/لقب),The wrapper; one who wraps,اللفاف,Ellaffaf|Al-Laffaf|El-Lafaf,v0.1.x
اللقة,El Laqqa,n,n,f,n,0.000164,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,اَللَّقَّة,من اللق وهو التقاط الشيء، أو اللقة بمعنى الضربة أو الصدمة. قد يكون لقباً يدل على صفة أو مهنة.,"From 'laqq' meaning picking up something, or 'laqqa' meaning a hit or shock. May be a nickname indicating a characteristic or profession.",اللقة|اللقه,Ellaqqa|Al-Laqqa|El-Laqa,v0.1.x
المتناوي,El Metnawy,n,n,f,n,0.000164,0.0,0.0,0.0,11.11,77.78,5.56,5.56,0.0,اَلْمِتْنَاوِيّ,نسبة إلى قرية المتناوية أو المتناوي، أو من المتن وهو الظهر أو القوة.,"Attributed to the village of El Metnawiya or El Metnawy, or from 'matn' meaning back or strength.",المتناوي|المتناوى,Elmatnawy|Al-Matnawi|El-Matnawi,v0.1.x
المدهون,Elmadhoun,n,n,f,n,0.000164,0.0,0.0,0.0,16.67,72.22,5.56,5.56,0.0,المَدْهُون,المدهون؛ المطلِي بالدُّهن,The anointed; oiled,المدهون,Elmadhoun|Al-Madhun|El-Madhoun,v0.1.x
المرغلي,El Marghaly,n,n,f,n,0.000164,0.0,0.0,16.67,66.67,16.67,0.0,0.0,0.0,اَلْمَرْغَلِيّ,نسبة إلى قرية المرغلية أو المرغل، أو من المرغل وهو نوع من النباتات.,"Attributed to the village of El Marghaliya or El Marghal, or from 'marghal' which is a type of plant.",المرغلي|المرغلى,Elmarghaly|Al-Marghali|El-Marghaly,v0.1.x
المولد,Elmawled,n,n,f,n,0.000164,0.0,0.0,0.0,16.67,50.0,33.33,0.0,0.0,المَوْلِد,المولد؛ وقت الولادة أو احتفال المولد,Birth; mawlid (nativity,المولد,Elmawled|Al-Mawlid|El-Mawled,v0.1.x
